signal_id,group,unit,observed_min,observed_max,observed_peak_abs,peak_source_case,budget_abs_bound,budget_basis,guard_factor,minimum_signed_integer_bits_including_sign,fractional_bits_status
observer_prediction_current,observer_intermediate,A,-0.24818420959985224,1.075598885244444,1.075598885244444,model010_saturation_probe,2.151197770488888,observed_peak_times_synthetic_guard,2.0,3,TBD_PENDING_QUANTIZATION_ERROR_STUDY
observer_prediction_position,observer_intermediate,rad,-1.7814571739494822e-06,0.028851515842530897,0.028851515842530897,model010_observer_initialization,0.057703031685061794,observed_peak_times_synthetic_guard,2.0,1,TBD_PENDING_QUANTIZATION_ERROR_STUDY
observer_prediction_speed,observer_intermediate,rad/s,-0.024844595137434602,0.10178416096804013,0.10178416096804013,model010_observer_initialization,0.20356832193608027,observed_peak_times_synthetic_guard,2.0,1,TBD_PENDING_QUANTIZATION_ERROR_STUDY
observer_speed_l1_sum_of_products,accumulator_bound,rad/s,1.0012156216545289e-08,0.10191568246362671,0.10191568246362671,model010_observer_initialization,0.20383136492725343,observed_peak_times_synthetic_guard,2.0,1,TBD_PENDING_QUANTIZATION_ERROR_STUDY
observer_voltage_term_current,observer_intermediate,A,-0.006113529274991981,0.011988007956141297,0.011988007956141297,model010_saturation_probe,0.023976015912282593,observed_peak_times_synthetic_guard,2.0,1,TBD_PENDING_QUANTIZATION_ERROR_STUDY
observer_voltage_term_position,observer_intermediate,rad,-1.0168873000033347e-09,1.994012377237698e-09,1.994012377237698e-09,model010_saturation_probe,3.988024754475396e-09,observed_peak_times_synthetic_guard,2.0,1,TBD_PENDING_QUANTIZATION_ERROR_STUDY
observer_voltage_term_speed,observer_intermediate,rad/s,-3.0476146910555864e-06,5.976061865455841e-06,5.976061865455841e-06,model010_saturation_probe,1.1952123730911683e-05,observed_peak_times_synthetic_guard,2.0,1,TBD_PENDING_QUANTIZATION_ERROR_STUDY
reference_position_rad,control_input,rad,0.01,0.1,0.1,model010_saturation_probe,0.2,observed_peak_times_synthetic_guard,2.0,1,TBD_PENDING_QUANTIZATION_ERROR_STUDY
reference_product_v,controller_intermediate,V,5.544338217446472,55.443382174464716,55.443382174464716,model010_saturation_probe,110.88676434892943,observed_peak_times_synthetic_guard,2.0,8,TBD_PENDING_QUANTIZATION_ERROR_STUDY
requested_voltage_v,control_output,V,-3.059822431228919,55.443382174464716,55.443382174464716,model010_saturation_probe,110.88676434892943,observed_peak_times_synthetic_guard,2.0,8,TBD_PENDING_QUANTIZATION_ERROR_STUDY
true_current,plant_state,A,-0.26135104364555845,1.0875868932005852,1.0875868932005852,model010_saturation_probe,2.1751737864011704,observed_peak_times_synthetic_guard,2.0,3,TBD_PENDING_QUANTIZATION_ERROR_STUDY
true_position,plant_state,rad,0.0,0.028851515496005713,0.028851515496005713,model010_observer_initialization,0.05770303099201143,observed_peak_times_synthetic_guard,2.0,1,TBD_PENDING_QUANTIZATION_ERROR_STUDY
true_speed,plant_state,rad/s,-0.01201590344719939,0.1,0.1,model010_observer_initialization,0.2,observed_peak_times_synthetic_guard,2.0,1,TBD_PENDING_QUANTIZATION_ERROR_STUDY
