scenario_id,category,parameter_name,parameter_scale,measurement_noise_std_rad,encoder_counts_per_revolution,control_delay_samples,voltage_limit_v,zero_delay_linearized_spectral_radius,zero_delay_linearization_stable,rms_tracking_error_rad,tail_mean_absolute_tracking_error_rad,peak_absolute_position_rad,peak_absolute_speed_rad_s,peak_absolute_current_a,rms_position_estimation_error_rad,maximum_absolute_applied_voltage_v,saturated_sample_count,all_values_finite,voltage_limit_respected,inside_development_integrity_envelope,description
rotor_inertia_kg_m2-x1.20,plant_parameter,rotor_inertia_kg_m2,1.2,0.0,,0,6.0,0.9950403955757734,True,0.0032386175393178725,2.526306995703949e-07,0.009999776712850541,0.02671274227110722,0.38337656347338,1.0790484519693908e-05,5.544338217446472,0,True,True,True,One-at-a-time synthetic multiplier of 1.20 on rotor_inertia_kg_m2.
viscous_friction_nm_s_per_rad-x0.80,plant_parameter,viscous_friction_nm_s_per_rad,0.8,0.0,,0,6.0,0.9955585141057723,True,0.003076401667388072,2.3532364122784855e-06,0.009998710759548059,0.03083451619930736,0.3784695997753525,1.6301786580960988e-05,5.544338217446472,0,True,True,True,One-at-a-time synthetic multiplier of 0.80 on viscous_friction_nm_s_per_rad.
viscous_friction_nm_s_per_rad-x1.20,plant_parameter,viscous_friction_nm_s_per_rad,1.2,0.0,,0,6.0,0.9956842102285943,True,0.0032888860017423515,2.271460979076396e-06,0.010073606382969674,0.024577447547610116,0.3802290809297103,1.2815130349838484e-05,5.544338217446472,0,True,True,True,One-at-a-time synthetic multiplier of 1.20 on viscous_friction_nm_s_per_rad.
encoder-2048-count,sensor,,,0.0,2048,0,6.0,0.9920319148369734,True,0.003182742825353022,0.000459986627221406,0.010975523438129714,0.02944285260500675,0.4374374080832416,0.0009113139262861714,5.544338217446472,0,True,True,True,Position rounded to a synthetic 2048-count/revolution encoder.
sensor-noise-20-urad,sensor,,,2e-05,,0,6.0,0.9920319148369734,True,0.0031824327647937273,3.070776445845101e-07,0.01000267168378415,0.02738945998226143,0.37940000574553034,3.2323683784263985e-06,5.544338217446472,0,True,True,True,Seeded Gaussian position noise with a 20 microradian standard deviation.
sensor-combined,sensor,,,2e-05,4096,0,6.0,0.9920319148369734,True,0.0031734057625157058,0.00011030798981617435,0.010281244858866863,0.027663873290713882,0.40985841693512953,0.0004837532066103832,5.544338217446472,0,True,True,True,A synthetic 4096-count/revolution encoder with seeded 20 microradian noise.
one-sample-command-delay,timing,,,0.0,,1,6.0,0.9920319148369734,True,0.0031863680426136424,5.235321728126914e-08,0.009999977102133174,0.027513353549629728,0.38035936240303914,9.747154335820312e-07,5.544338217446472,0,True,True,True,One unmodelled 1 ms sample of actuator-command delay.
two-sample-command-delay,timing,,,0.0,,2,6.0,0.9920319148369734,True,0.0031900946062885975,7.298817255365145e-08,0.00999996678124544,0.02764427410707585,0.38135490318369875,1.9564851588181372e-06,5.544338217446472,0,True,True,True,Two unmodelled 1 ms samples of actuator-command delay.
reduced-supply-4v5,actuator,,,0.0,,0,4.5,0.9920319148369734,True,0.0031918325582317372,3.194839152892773e-08,0.009999987034455739,0.027376808790988506,0.3791675196907994,0.0,4.5,12,True,True,True,Available command voltage reduced from 6.0 V to 4.5 V.
combined-development-stress,combined,,,2e-05,4096,1,4.5,0.9959070794990472,True,0.003431444115255722,9.408968292857086e-05,0.010299422578028879,0.023175808843632306,0.42498317951567854,0.0005093356718182679,4.5,12,True,True,True,"Synthetic high inertia, low torque constant, sensor limitations, one-sample delay, and reduced supply."
